term-or-expression,explicit-or-implicit,en-american-english,en-contextual-label,en-hate-label
term,explicit,leftist,0.0,partyism
term,explicit,faggot,1.0,homophobia
term,explicit,faggot,1.0,homophobia
term,explicit,dumb bitch,0.0,0
term,explicit,coward,0.0,0
term,explicit,coward,0.0,0
term,explicit,asshole,1.0,0
term,explicit,asshole,1.0,0
term,explicit,asshole,1.0,0
term,explicit,asshole,1.0,0
term,explicit,bitch,0.0,0
term,explicit,stinky,0.0,0
term,explicit,stinky,0.0,0
term,explicit,stinky,0.0,0
term,explicit,stinky,0.0,0
term,explicit,monkey,0.0,racism
term,explicit,monkey,0.0,racism
term,explicit,butch,1.0,sexism
term,explicit,ugly bitch,1.0,0
term,explicit,ugly bitch,1.0,0
term,explicit,wimp,1.0,0
term,explicit,wimp,1.0,0
term,explicit,fat-ass,0.0,sexism
term,explicit,fat-ass,0.0,0
term,explicit,perv,0.0,0
term,explicit,gutted rabbit,0.0,sexism
term,explicit,faggot,0.0,homophobia
term,explicit,faggot,0.0,homophobia
term,explicit,faggot,0.0,homophobia
expression,explicit,0,0.0,partyism
expression,explicit,drop of water,0.0,0
term,explicit,dangerous,0.0,0
term,explicit,dangerous,0.0,0
term,explicit,beast,0.0,0
term,explicit,blind sheep,1.0,religious intolerance
term,explicit,bootlicker,1.0,partyism
term,explicit,faggot,0.0,homophobia
term,explicit,faggot,0.0,homophobia
term,explicit,faggot,0.0,homophobia
term,explicit,libtard,0.0,partyism
expression,explicit,sonovabitch,1.0,0
expression,explicit,motherfucker,1.0,0
term,explicit,misogyny,0.0,0
term,explicit,pathetically,0.0,0
expression,explicit,fucking annoying,1.0,0
expression,explicit,bootlicker,0.0,0
expression,explicit,lock him up,1.0,0
expression,explicit,lock him up,1.0,0
expression,explicit,lock her up,1.0,0
expression,explicit,lock her up,1.0,0
term,explicit,miserable,1.0,0
term,explicit,0,1.0,partyism
term,explicit,0,1.0,partyism
term,explicit,fucker,0.0,0
term,explicit,0,1.0,partyism
term,explicit,0,1.0,partyism
term,explicit,betrayal,1.0,0
expression,explicit,fucking preacher,1.0,religious intolerance
expression,explicit,chucky,0.0,0
expression,explicit,son of a bitch,1.0,0
expression,explicit,fuck you,0.0,0
expression,explicit,fucker,1.0,0
expression,explicit,son of a bitch,1.0,0
expression,explicit,son of a bitch,1.0,0
expression,explicit,son of a bitch,1.0,0
expression,explicit,son of a bitch,1.0,0
term,explicit,gunge,0.0,0
term,explicit,obnoxious,1.0,0
term,explicit,mud,0.0,0
term,explicit,obnoxious,1.0,0
term,explicit,ugly,1.0,0
term,explicit,ugly,1.0,0
term,explicit,dick,1.0,0
term,explicit,dick,0.0,0
term,explicit,dick,0.0,0
term,explicit,jerk off,1.0,0
term,explicit,circle jerk,1.0,0
term,explicit,cock,0.0,0
term,explicit,buffin' the muffin,1.0,0
term,explicit,pussy,1.0,0
term,explicit,pussy,1.0,0
term,explicit,faggot,1.0,0
term,explicit,pussy,0.0,0
term,explicit,dumb,0.0,0
term,explicit,janitor,0.0,0
term,explicit,stud,0.0,0
term,explicit,hottie,0.0,0
term,explicit,pustule,1.0,0
expression,explicit,fuck it,1.0,0
expression,explicit,fuck it,1.0,0
expression,explicit,racist fuck,1.0,0
term,explicit,mafia,1.0,0
term,explicit,0,1.0,0
term,explicit,poor thing,0.0,0
term,explicit,poor thing,0.0,0
term,explicit,abnormal,0.0,0
expression,explicit,full of himself,0.0,0
expression,explicit,full of herself,0.0,0
term,explicit,obsolete,0.0,0
term,explicit,obsolete,0.0,0
expression,explicit,jail,0.0,0
term,explicit,obnoxious,0.0,0
term,explicit,obnoxious,0.0,0
term,explicit,incompetent,0.0,0
term,explicit,fuck,0.0,0
term,explicit,aversion,0.0,0
term,explicit,horrible,1.0,0
term,explicit,scene,0.0,0
term,explicit,dirtbag,0.0,0
expression,explicit,son of a bitch,1.0,0
expression,explicit,devil pray,1.0,0
term,explicit,pathetic,0.0,0
term,explicit,pathetic,0.0,0
term,explicit,mediocre,1.0,0
term,explicit,hellish,1.0,partyism
term,explicit,gang,0.0,0
term,explicit,ostracism,0.0,0
term,explicit,vain,0.0,0
term,explicit,vain,0.0,0
term,explicit,con,1.0,0
term,explicit,hitchhiker,0.0,0
term,explicit,hitchhiker,0.0,0
term,explicit,fuck you kid,0.0,0
term,explicit,country camper slut,1.0,sexism
term,explicit,scorn,0.0,0
term,explicit,0,1.0,partyism
term,explicit,0,1.0,partyism
term,explicit,0,1.0,partyism
term,explicit,0,1.0,partyism
expression,explicit,jew from hell,1.0,antisemitism
term,explicit,whore,1.0,sexism
term,explicit,little communist,1.0,partyism
expression,explicit,brainwash,1.0,0
term,explicit,colonialist,0.0,0
expression,explicit,come out of the closet,0.0,homophobia
expression,explicit,holy shit,1.0,0
term,explicit,wrecked,0.0,0
term,explicit,wrecked,0.0,0
term,explicit,pettiness,0.0,0
term,explicit,guilty,0.0,0
term,explicit,guilty,0.0,0
expression,implicit,fucked in the ass,1.0,0
expression,implicit,motherless,0.0,0
expression,implicit,better keep your mouth shut,1.0,0
expression,implicit,you fool no one,1.0,0
expression,implicit,loudmouth,1.0,0
expression,implicit,dork,1.0,0
expression,implicit,raise hell,1.0,0
expression,implicit,empty head,1.0,0
expression,implicit,mouth gag,0.0,0
expression,implicit,fake as 3 dollar bill,1.0,0
expression,implicit,sour grapes,0.0,0
expression,implicit,turn a blind eye,0.0,0
expression,implicit,stick at nothing,0.0,0
expression,implicit,lock him up,1.0,0
expression,implicit,get a job,0.0,0
expression,implicit,lazy ass,0.0,0
expression,implicit,0,1.0,0
expression,implicit,cage house,0.0,0
expression,implicit,go back tot he cage,0.0,0
expression,implicit,wandering,0.0,0
expression,implicit,useless,1.0,0
expression,implicit,go have your bread with mortadella,0.0,0
expression,implicit,suck a dick,1.0,sexism
expression,implicit,get help,0.0,0
expression,implicit,dumb,1.0,0
expression,implicit,get a job,0.0,0
term,implicit,nobody,1.0,0
expression,implicit,rough face,1.0,sexism
expression,implicit,get a job,1.0,0
expression,implicit,shameless,0.0,0
expression,implicit,ladies of the night (hoes),1.0,sexism
expression,implicit,slut,0.0,sexism
expression,implicit,give back my money,0.0,0
expression,implicit,go fly a kite,0.0,0
expression,implicit,get lost,0.0,0
expression,implicit,nice rider,1.0,0
expression,implicit,find your own people,0.0,0
expression,implicit,grafting crook,1.0,0
expression,implicit,dirty money,0.0,0
expression,implicit,get a job,0.0,0
expression,implicit,wash that mouth,0.0,0
expression,implicit,in jail,1.0,0
expression,implicit,money laundering,0.0,0
expression,implicit,money laundering,0.0,0
expression,implicit,verbal diarrhea,1.0,0
expression,implicit,worthlessness,1.0,0
expression,implicit,stupidly,0.0,0
expression,implicit,batshit crazy,1.0,0
New terms realease,,,,
term,explicit,,,
term,explicit,,,
term,explicit,,,
term,explicit,,,
term,explicit,,,
term,explicit,,,
term,explicit,,,
term,explicit,,,
term,explicit,,,
term,explicit,,,
term,explicit,,,
